Variety,State,Year,NASS,HGA,ERR,PERC_ERR,Drop
CHINOOK,Idaho,2013,1801,1801,0,0,NASS
CITRA HBC 394,Idaho,2013,1011,1011,0,0,NASS
EL DORADO,Idaho,2013,971,971,0,0,NASS
ZEUS,Idaho,2013,3049,3049,0,0,NASS
CASCADE,Oregon,2013,1483,1483,0,0,NASS
CENTENNIAL,Oregon,2013,1585,1585,0,0,NASS
FUGGLE,Oregon,2013,827,827,0,0,NASS
GOLDING,Oregon,2013,1148,1148,0,0,NASS
MT. HOOD,Oregon,2013,1567,1567,0,0,NASS
NUGGET,Oregon,2013,2053,2053,0,0,NASS
PERLE,Oregon,2013,1178,1178,0,0,NASS
STERLING,Oregon,2013,1621,1621,0,0,NASS
WILLAMETTE,Oregon,2013,1491,1491,0,0,NASS
AHTANUM YCR 1,Washington,2013,1647,1647,0,0,NASS
CASCADE,Washington,2013,1723,1723,0,0,NASS
CENTENNIAL,Washington,2013,1554,1554,0,0,NASS
CHINOOK,Washington,2013,1987,1987,0,0,NASS
CITRA HBC 394,Washington,2013,1405,1405,0,0,NASS
CLUSTER,Washington,2013,1948,1948,0,0,NASS
CRYSTAL,Washington,2013,1286,1286,0,0,NASS
EL DORADO,Washington,2013,1761,1761,0,0,NASS
GALENA,Washington,2013,1969,1969,0,0,NASS
GLACIER,Washington,2013,1258,1258,0,0,NASS
GOLDING,Washington,2013,1010,1010,0,0,NASS
MILLENNIUM,Washington,2013,2266,2266,0,0,NASS
MOSAIC HBC 369,Washington,2013,1709,1709,0,0,NASS
MT. HOOD,Washington,2013,1161,1161,0,0,NASS
NORTHERN BREWER,Washington,2013,1256,1256,0,0,NASS
NUGGET,Washington,2013,1931,1931,0,0,NASS
PALISADE YCR 4,Washington,2013,2790,2790,0,0,NASS
SIMCOE YCR 14,Washington,2013,1682,1682,0,0,NASS
SUMMIT,Washington,2013,1873,1873,0,0,NASS
TETTNANGER,Washington,2013,755,755,0,0,NASS
VANGUARD,Washington,2013,1349,1349,0,0,NASS
WARRIOR YCR 5,Washington,2013,2169,2169,0,0,NASS
WILLAMETTE,Washington,2013,1240,1240,0,0,NASS
ZEUS,Washington,2013,2940,2940,0,0,NASS
TOTAL IDAHO,Idaho,2014,1847,1847,0,0,NASS
APOLLO,Idaho,2014,2004,2004,0,0,NASS
BRAVO,Idaho,2014,2579,2579,0,0,NASS
CASCADE,Idaho,2014,1746,1746,0,0,NASS
CENTENNIAL,Idaho,2014,754,754,0,0,NASS
CHINOOK,Idaho,2014,1673,1673,0,0,NASS
CITRA HBC 394,Idaho,2014,1200,1200,0,0,NASS
CRYSTAL,Idaho,2014,2186,2186,0,0,NASS
EL DORADO,Idaho,2014,1144,1144,0,0,NASS
SIMCOE YCR 14,Idaho,2014,969,969,0,0,NASS
SUPER GALENA,Idaho,2014,2165,2165,0,0,NASS
ZEUS,Idaho,2014,2891,2891,0,0,NASS
TOTAL OREGON,Oregon,2014,1520,1520,0,0,NASS
CASCADE,Oregon,2014,1402,1402,0,0,NASS
CENTENNIAL,Oregon,2014,1095,1095,0,0,NASS
GOLDING,Oregon,2014,955,955,0,0,NASS
MT. HOOD,Oregon,2014,1450,1450,0,0,NASS
NUGGET,Oregon,2014,1978,1978,0,0,NASS
PERLE,Oregon,2014,1057,1057,0,0,NASS
STERLING,Oregon,2014,1423,1423,0,0,NASS
SUPER GALENA,Oregon,2014,2309,2309,0,0,NASS
WILLAMETTE,Oregon,2014,1453,1453,0,0,NASS
TOTAL UNITED STATES,United States,2014,1868,1868,0,0,NASS
AHTANUM YCR 1,Washington,2014,1680,1680,0,0,NASS
TOTAL WASHINGTON,Washington,2014,1936,1936,0,0,NASS
APOLLO,Washington,2014,2649,2649,0,0,NASS
AZACCA ADHA-483,Washington,2014,1704,1704,0,0,NASS
BRAVO,Washington,2014,2768,2768,0,0,NASS
CASCADE,Washington,2014,1824,1824,0,0,NASS
CENTENNIAL,Washington,2014,1347,1347,0,0,NASS
CHINOOK,Washington,2014,1815,1815,0,0,NASS
CITRA HBC 394,Washington,2014,1570,1570,0,0,NASS
CLUSTER,Washington,2014,1825,1825,0,0,NASS
CRYSTAL,Washington,2014,1366,1366,0,0,NASS
EL DORADO,Washington,2014,2206,2206,0,0,NASS
GALENA,Washington,2014,1801,1801,0,0,NASS
GLACIER,Washington,2014,1202,1202,0,0,NASS
GOLDING,Washington,2014,772,772,0,0,NASS
JARRYLO ADHA-881,Washington,2014,1548,1548,0,0,NASS
MILLENNIUM,Washington,2014,1996,1996,0,0,NASS
MOSAIC HBC 369,Washington,2014,2225,2225,0,0,NASS
MT. HOOD,Washington,2014,1333,1333,0,0,NASS
NORTHERN BREWER,Washington,2014,1244,1244,0,0,NASS
PALISADE YCR 4,Washington,2014,2469,2469,0,0,NASS
SIMCOE YCR 14,Washington,2014,1542,1542,0,0,NASS
SUMMIT,Washington,2014,2105,2105,0,0,NASS
SUPER GALENA,Washington,2014,2562,2562,0,0,NASS
VANGUARD,Washington,2014,1455,1455,0,0,NASS
WARRIOR YCR 5,Washington,2014,1821,1821,0,0,NASS
WILLAMETTE,Washington,2014,1130,1130,0,0,NASS
ZEUS,Washington,2014,2811,2811,0,0,NASS
TOTAL IDAHO,Idaho,2015,1794,1794,0,0,NASS
APOLLO,Idaho,2015,2062,2062,0,0,NASS
BRAVO,Idaho,2015,2625,2625,0,0,NASS
CALYPSO,Idaho,2015,1710,1710,0,0,NASS
CASCADE,Idaho,2015,1633,1633,0,0,NASS
CHINOOK,Idaho,2015,1850,1850,0,0,NASS
CITRA HBC 394,Idaho,2015,1271,1271,0,0,NASS
EL DORADO,Idaho,2015,1125,1125,0,0,NASS
MOSAIC HBC 369,Idaho,2015,2278,2278,0,0,NASS
SIMCOE YCR 14,Idaho,2015,1576,1576,0,0,NASS
SUPER GALENA,Idaho,2015,2189,2189,0,0,NASS
ZEUS,Idaho,2015,2909,2909,0,0,NASS
TOTAL OREGON,Oregon,2015,1613,1613,0,0,NASS
CASCADE,Oregon,2015,1994,1994,0,0,NASS
CENTENNIAL,Oregon,2015,1352,1352,0,0,NASS
CITRA HBC 394,Oregon,2015,980,980,0,0,NASS
CRYSTAL,Oregon,2015,2011,2011,0,0,NASS
FUGGLE,Oregon,2015,1066,1066,0,0,NASS
GOLDING,Oregon,2015,837,837,0,0,NASS
LIBERTY,Oregon,2015,1360,1360,0,0,NASS
MT. HOOD,Oregon,2015,1276,1276,0,0,NASS
NUGGET,Oregon,2015,1888,1888,0,0,NASS
SIMCOE YCR 14,Oregon,2015,1678,1678,0,0,NASS
STERLING,Oregon,2015,1344,1344,0,0,NASS
SUPER GALENA,Oregon,2015,2340,2340,0,0,NASS
TETTNANGER,Oregon,2015,1242,1242,0,0,NASS
WILLAMETTE,Oregon,2015,1226,1226,0,0,NASS
TOTAL UNITED STATES,United States,2015,1807,1807,0,0,NASS
AHTANUM YCR 1,Washington,2015,1557,1557,0,0,NASS
TOTAL WASHINGTON,Washington,2015,1849,1849,0,0,NASS
APOLLO,Washington,2015,2738,2738,0,0,NASS
AZACCA ADHA-483,Washington,2015,1872,1872,0,0,NASS
BRAVO,Washington,2015,2824,2824,0,0,NASS
CASCADE,Washington,2015,1936,1936,0,0,NASS
CENTENNIAL,Washington,2015,1145,1145,0,0,NASS
CHINOOK,Washington,2015,1793,1793,0,0,NASS
CITRA HBC 394,Washington,2015,1541,1541,0,0,NASS
CLUSTER,Washington,2015,1705,1705,0,0,NASS
COMET,Washington,2015,1780,1780,0,0,NASS
CRYSTAL,Washington,2015,1183,1183,0,0,NASS
GALENA,Washington,2015,1968,1968,0,0,NASS
GLACIER,Washington,2015,996,996,0,0,NASS
GOLDING,Washington,2015,854,854,0,0,NASS
JARRYLO ADHA-881,Washington,2015,1541,1541,0,0,NASS
MOSAIC HBC 369,Washington,2015,2036,2036,0,0,NASS
MT. HOOD,Washington,2015,1069,1069,0,0,NASS
NORTHERN BREWER,Washington,2015,991,991,0,0,NASS
NUGGET,Washington,2015,1927,1927,0,0,NASS
PALISADE YCR 4,Washington,2015,1950,1950,0,0,NASS
SIMCOE YCR 14,Washington,2015,1540,1540,0,0,NASS
SUMMIT,Washington,2015,1969,1969,0,0,NASS
SUPER GALENA,Washington,2015,2729,2729,0,0,NASS
VANGUARD,Washington,2015,1223,1223,0,0,NASS
WILLAMETTE,Washington,2015,1007,1007,0,0,NASS
ZEUS,Washington,2015,2819,2819,0,0,NASS
TOTAL IDAHO,Idaho,2016,1646,1646,0,0,NASS
APOLLO,Idaho,2016,1893,1893,0,0,NASS
BRAVO,Idaho,2016,2359,2359,0,0,NASS
CALYPSO,Idaho,2016,1937,1937,0,0,NASS
CASCADE,Idaho,2016,1585,1585,0,0,NASS
CHINOOK,Idaho,2016,1712,1712,0,0,NASS
CITRA HBC 394,Idaho,2016,1213,1213,0,0,NASS
CRYSTAL,Idaho,2016,1678,1678,0,0,NASS
EL DORADO,Idaho,2016,1658,1658,0,0,NASS
MOSAIC HBC 369,Idaho,2016,2204,2204,0,0,NASS
SIMCOE YCR 14,Idaho,2016,1335,1335,0,0,NASS
SUPER GALENA,Idaho,2016,1872,1872,0,0,NASS
ZEUS,Idaho,2016,2761,2761,0,0,NASS
