Year,DP01,DP10,DP1X,EMXP,PRCP,CDSD,CLDD,DSND,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,TAVG,TMAX,TMIN,AWND,DSNW,DYFG,DYTS,EMSN,SNOW,HN01,HX01,LN01,LX01,MN01,MX01,DYHF,WDF2,WDF5,WSF2,WSF5,HN02,HN03,HX02,HX03,HX04,HX05,LN02,LN03,LX02,LX03,LX04,LX05,MN02,MN03,MX02,MX03,MX04,MX05,WDMV,WDF1,WDFG,WSF1,WSFG
2012,171,121,13,81.8,1546.55,108.45,108.45,52,0,83,3,120,10,-7.15,406,37.2,-0.45,-2.5,-5.1,-7.2,-10.2,-0.6,-2.8,-5.3,-7.2,-9.55,3333,3333,10.275,15.82,4.61,2.3,3.5,47.5,2,133.5,249.5,25.55,34.45,0.85,1.7,11.9,16.85,36.5,185,200,17.65,25,26.1,26.7,36.7,30.6,22.2,,0,1.7,2.2,1.7,8.3,,11.8,12.4,17.7,14.9,14.7,,29646,,,,
2013,136,75,4,53.3,754.6,156.25,156.25,105,0,93.5,11,117,9.5,-15.6,673,34.25,-0.65,-2.8,-5.65,-7.8,-9.9,-0.6,-2.8,-5.3,-7.2,-9.7,3108.7,3108.7,9.965,15.59,4.765,2.1,1,74.5,2,37,47,26.7,33.9,0,0.85,12.35,16.55,38.5,190,190,14.1,19.7,25.6,26.7,36.1,32.2,26.1,22.8,0.6,1.7,1.7,1.7,-17.8,8.3,11.8,12.4,17.3,14.7,12.5,15.2,,,,,
2014,158,103,8,49.5,1230.95,195,195,6,0,58,4,132,13,-9.4,279,35.6,-0.6,-3.15,-6.1,-7.5,-10.1,-0.4,-2.6,-5.6,-7.9,-9.4,3077.25,3077.25,11.37,17.42,5.76,2.7,2,133,7,97,198,27.2,27.8,1.1,2.2,14.3,15,33.5,190,190,17.85,23.9,,,,,,,,,,,,,,,,,,,,,,,
2015,138.5,89,9,58.8,1130.7,174.45,174.45,1,0,46,1,130,17.5,-7.2,25,37.8,-0.6,-2.8,-5.05,-7.2,-9.8,-0.5,-2.8,-5.2,-7.2,-9.65,2584.9,2584.9,11.2,17.285,5.505,2.4,0,112,9,0,0,28.3,28.9,0.6,0.6,14.4,15.1,53.5,195,170,17.45,24.1,,,,,,,,,,,,,,,,,,,,,,,
2016,177,120,7,53.6,1377.1,129.4,129.4,30,0,48.5,7,117,13,-9.4,178,36.7,-0.6,-2.8,-5.6,-7.8,-9.55,-0.2,-3.2,-5.25,-8.25,-10,2918.4,2918.4,10.5,16.25,5.465,2.5,1,83,5,38,50,,22.8,,9.4,,15.8,49,190,210,17.2,23.95,,,,,,,,,,,,,,,,,,,,,,,
2017,162,114,10,52.1,1380.1,200.05,200.05,72,0,76,9,117,19,-11.6,495,37.6,-0.5,-2.6,-5,-7.2,-10.2,-0.5,-2.7,-5,-7.8,-9.8,3421.7,3421.7,9.43,15.79,4.79,2.5,3,93,5,89,178,,31.1,,0.6,,16,29,190,180,17.9,23.9,,,22.2,,,,,,5.6,,,,,,14.9,,,,,,,,
2018,137,84,4,41.1,895.55,153.6,153.6,21,0,70,3,117,14,-9.4,178,36.1,-0.55,-2.8,-5.1,-7.2,-9.35,-0.6,-2.9,-5.8,-7.5,-11,3106.8,3106.8,10.38,16.13,5.01,2.5,1,101.5,5,48.5,62.5,23.9,36.1,2.2,4.4,12.4,18.7,49,190,200,16.1,21.5,24.4,23.9,28.9,26.7,21.1,21.7,0.6,3.3,3.9,3.3,-4.4,8.3,12.1,12.7,16,14.1,11.6,15.3,,,,,
2019,142,90,5,51.1,931,116.2,116.2,70.5,0,86,6,109,6,-9,724,36.7,-0.6,-2.85,-5,-7.4,-10.05,-0.6,-2.75,-5,-7.2,-10,3178.4,3178.4,9.99,15.56,4.59,2.4,3.5,136,6,86.5,257.5,23.9,36.7,1.7,2.2,11.7,18.7,69,180,200,16.3,23.45,24.4,,32.2,21.1,21.7,,1.1,,3.3,2.2,8.3,,11.8,,16.9,11.5,15.2,,,,,,
2020,155.5,101,4,48.15,1031.55,155.1,155.1,2,0,75,0.5,119,14,-6.15,25,37.2,-0.8,-3.3,-5.5,-8.05,-9.4,-0.1,-2.75,-5.3,-7.6,-10,3165.4,3165.4,11.04,16.465,5.35,2.8,0,120.5,5,9,10.5,23.35,29.7,1.7,2.75,11.85,15.25,64,190,190,15.7,20.1,23.3,21.1,31.7,25.6,20,22.2,2.8,-1.7,4.4,0.6,3.9,10.6,12.5,8.6,16.9,10.8,11.6,15.5,,,,,
2021,158,99,7,50,1089.7,247.25,247.25,13.5,0,73.5,5,123,20,-7.25,334,42.2,-0.5,-2.8,-5.35,-7.3,-9.8,-0.6,-2.65,-5,-7.7,-9.4,3014.3,3014.3,10.995,17.02,5.07,2.9,3,160,2,127,270,25.6,35,2.2,3.3,12.6,17.9,41,260,200,15.45,22.15,,,,,,,,,,,,,,,,,,,,,,,
2022,144.5,87,8,49.3,1056.8,204.8,204.8,5,0,88,4,119,22,-10.8,102,37.2,-0.6,-2.7,-5,-7.6,-9.8,-0.55,-2.8,-5.6,-7.8,-9.9,3235.3,3235.3,10.14,16.1,4.91,2.5,0,176,3,13,13,26.1,35,-3.9,2.2,12.2,18,62,190,200,17.4,24.15,25,21.1,33.3,26.1,20.6,21.7,1.1,-4.4,1.7,-1.1,2.8,3.9,12.2,8.3,16.6,10.5,11,14.9,,,,,
