County,state,state_code,State,county_code,FIPS
Polk,OR,41,Oregon,053,41053
Marion,OR,41,Oregon,047,41047
Yakima,WA,53,Washington,077,53077
Benton,WA,53,Washington,005,53005
Canyon,ID,16,Idaho,027,16027
Boundary,ID,16,Idaho,021,16021
Owyhee,ID,16,Idaho,073,16073
Twin Falls,ID,16,Idaho,083,16083
